Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Panama,"1,032,237",,"8,611",,"1,022,929",,697,16,"232,122","1,936","7,563,087","1,700,730","4,446,964",North America,4,516,1,,,157
Mongolia,"1,007,907",,"2,179",,"1,005,718",,10,192,"298,367",645,"4,030,048","1,193,000","3,378,078",Asia,3,"1,550",1,,,3
Nepal,"1,001,180",,"12,020",,"989,141",,19,,"33,124",398,"6,016,041","199,038","30,225,582",Asia,30,"2,515",5,,,0.6
Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800",Europe,9,"1,325",1,,,141
Latvia,"976,450",,"6,260",,"969,827",,363,13,"528,143","3,386","7,867,703","4,255,488","1,848,837",Europe,2,295,0,,,196
Saudi Arabia,"831,202",,"9,624",,"817,801",,"3,777",52,"23,189",268,"45,207,637","1,261,201","35,844,909",Asia,43,"3,725",1,,,105
Azerbaijan,"829,217",,"10,153",,"818,756",,308,,"80,505",986,"7,548,451","732,845","10,300,205",Asia,12,"1,014",1,,,30
Paraguay,"808,643",,"19,881",,N/A,N/A,N/A,7,"110,684","2,721","2,657,506","363,751","7,305,843",South America,9,367,3,,,"12,380"
Bahrain,"713,856",,"1,557",,"709,460",,"2,839",5,"400,147",873,"10,765,122","6,034,319","1,783,983",Asia,2,"1,146",0,,,"1,591"
Sri Lanka,"672,052",,"16,831",,"655,210",,11,,"31,148",780,"6,486,117","300,619","21,575,842",Asia,32,"1,282",3,,,0.5
Kuwait,"664,402",,"2,570",,"660,237",,"1,595",,"151,679",587,"8,455,743","1,930,391","4,380,326",Asia,7,"1,704",1,,,364
Dominican Republic,"660,848",,"4,384",,"644,785",,"11,679",4,"59,771",397,"3,740,928","338,350","11,056,370",North America,17,"2,522",3,,,"1,056"
Cyprus,"653,667",,"1,341",,"647,752",,"4,574",60,"534,309","1,096","9,640,118","7,879,860","1,223,387",Asia,2,912,0,,,"3,739"
Myanmar,"633,991",,"19,490",,"614,472",,29,,"11,480",353,"10,126,151","183,355","55,227,143",Asia,87,"2,834",5,,,0.5
Palestine,"621,008",,"5,404",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541",Asia,9,989,2,,,30
Estonia,"615,735",,"2,949",,"524,990",,"87,796",3,"465,792","2,231","3,682,656","2,785,860","1,321,910",Europe,2,448,0,,,"66,416"
Moldova,"613,974",,"12,025",,"504,142",,"97,807",49,"152,990","2,996","3,216,305","801,437","4,013,171",Europe,7,334,1,,,"24,372"
