Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Barbados,106798.0,0.0,579.0,0.0,106211.0,0.0,8.0,0.0,370797.0,2010.0,794426.0,2758203.0,288023.0,North America,3.0,497.0,0.0,0.0,0.0,28.0
Angola,105288.0,0.0,1933.0,0.0,103342.0,0.0,13.0,0.0,3006.0,55.0,1499795.0,42818.0,35027343.0,Africa,333.0,18121.0,23.0,0.0,0.0,0.4
Channel Islands,101449.0,0.0,227.0,0.0,101091.0,0.0,131.0,0.0,574902.0,1286.0,1252808.0,7099551.0,176463.0,Europe,2.0,777.0,0.0,0.0,0.0,742.0
French Guiana,98041.0,0.0,420.0,0.0,11254.0,0.0,86367.0,6.0,312065.0,1337.0,651257.0,2072951.0,314169.0,South America,3.0,748.0,0.0,0.0,0.0,274906.0
DRC,95749.0,0.0,1464.0,0.0,84321.0,0.0,9964.0,0.0,1005.0,15.0,846704.0,8890.0,95240792.0,Africa,995.0,65055.0,112.0,0.0,0.0,105.0
Senegal,88926.0,0.0,1971.0,0.0,86947.0,0.0,8.0,0.0,5037.0,112.0,1146543.0,64946.0,17653671.0,Africa,199.0,8957.0,15.0,0.0,0.0,0.5
Malawi,88707.0,0.0,2686.0,0.0,85583.0,0.0,438.0,67.0,4396.0,133.0,624784.0,30959.0,20180839.0,Africa,227.0,7513.0,32.0,0.0,0.0,22.0
Ivory Coast,88275.0,0.0,834.0,0.0,87421.0,0.0,20.0,0.0,3182.0,30.0,1682166.0,60635.0,27742298.0,Africa,314.0,33264.0,16.0,0.0,0.0,0.7
Suriname,82467.0,0.0,1404.0,0.0,0.0,0.0,0.0,0.0,138175.0,2352.0,241357.0,404398.0,596831.0,South America,7.0,425.0,2.0,0.0,0.0,52464.0
New Caledonia,79881.0,0.0,314.0,0.0,79558.0,0.0,9.0,9.0,274585.0,1079.0,98964.0,340182.0,290915.0,Australia/Oceania,4.0,926.0,3.0,0.0,0.0,31.0
